FlowNo.,Answer RRs,BytesEx,Destination,Destination Port,Duration,FPL,IP_Flags,Length,Next sequence number,No.,NumPackets,Protocol,Protocols in frame,SameLenPktRatio,Sequence number,Source,Source Port,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward
25,4,296,ff02::fb,5353,0,148,,195,,6,2,MDNS,eth:ethertype:ipv6:udp:mdns,1,,fe80::1d5b:9df8:1f5c:6a6d,5353,47,0,0,0,1,148,0,0,141,0,0.023189,,-1,0
13,0,524,222.30.45.41,53,0.00627,78,0x00,78,,14,4,DNS,eth:ethertype:ip:udp:dns,0.75,,10.130.234.185,52516,54.8544,0,0,0,3,131,668581,637.959,44,0,1.55225,,1,2
24,0,95,ff02::1:3,5355,0,95,,95,,7,1,LLMNR,eth:ethertype:ipv6:udp:llmnr,1,,fe80::1d5b:9df8:1f5c:6a6d,58602,0,0,0,0,0,95,0,0,41,0,0.023189,,-1,0
2,,74,117.28.245.88,443,0,74,0x40,74,1,74,1,TCP,eth:ethertype:ip:tcp,1,0,10.130.234.185,63302,0,0,0,0,0,74,0,0,,2,4.85996,0,-1,0
16,,456,23.2.16.74,80,0.14995,177,0x40,177,112,51,2,HTTP,eth:ethertype:ip:tcp:http,1,1,10.130.234.185,63320,51,0,0,0,1,228,24328.1,13.3378,,24,2.64413,111,1,1
15,0,75,224.0.0.252,5355,0,75,0x00,75,,8,1,LLMNR,eth:ethertype:ip:udp:llmnr,1,,10.130.145.203,58602,0,0,0,0,0,75,0,0,41,0,0.023189,,-1,0
10,,70,10.130.234.185,8020,0,70,"0x00,0x00",70,,87,1,ICMP,eth:ethertype:ip:icmp:ip:udp,1,,221.183.47.193,1863,0,0,0,0,0,70,0,0,35,0,5.60361,,0,1
22,,1060,2600:1417:e800:18d::b,443,0.56334,86,,86,1,18,14,TCP,eth:ethertype:ipv6:tcp,0.142857,0,2001:250:401:6561:3542:be32:86c:9999,63319,4.19913,0,0,0,4,75.7143,15053.1,24.8518,,2,1.55944,0,1.33333,6
3,,74,117.28.245.88,443,0,74,0x40,74,1,76,1,TCP,eth:ethertype:ip:tcp,1,0,10.130.234.185,63305,0,0,0,0,0,74,0,0,,2,5.11945,0,-1,0
0,,1576,111.30.159.178,443,0.05836,466,0x40,466,413,80,4,SSL,eth:ethertype:ip:tcp:tls,1,1,10.130.234.185,62551,163.071,0,0,0,1,394,216038,68.5401,,24,5.48991,412,1,2
6,,133,120.253.253.233,443,0.02341,55,0x40,55,2,77,2,TCP,eth:ethertype:ip:tcp,1,1,10.130.234.185,63131,11.5,0,0,0,1,66.5,45450.7,85.4336,,16,5.13964,1,1,1
11,,74,221.238.80.61,80,0,74,0x40,74,1,88,1,TCP,eth:ethertype:ip:tcp,1,0,10.130.234.185,63322,0,0,0,0,0,74,0,0,,2,5.76011,0,-1,0
8,,380,20.198.162.78,443,0.091676,155,0x40,155,102,9,2,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,10.130.234.185,49426,35,0,0,0,1,190,33160.3,21.816,,24,0.560437,101,1,1
20,,651,239.255.255.250,1900,2.05849,217,0x00,217,,67,3,SSDP,eth:ethertype:ip:udp:ssdp,0.333333,,10.130.145.203,58603,0,0,0,0,2,217,2530.01,1.45738,183,0,3.19203,,-1,0
18,,132,23.2.16.74,80,4e-05,66,0x40,66,112,55,2,TCP,eth:ethertype:ip:tcp,0.5,112,10.130.234.185,63320,0,0,0,0,1,66,2.64e+07,50000,,16,2.79422,0,-1,0
21,,663,239.255.255.250,2200,0.10293,331,0x00,331,,12,2,UDP,eth:ethertype:ip:udp:data,1,,10.130.145.203,2200,0.5,0,0,0,1,331.5,51530.2,19.4307,297,0,1.24608,,-1,0
