"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Answer RRs","Protocols in frame","IP_Flags","tcp_Flags","Next sequence number","Sequence number","TCP Segment Len","udp_Length"
"1","0.000000","","","Ethernet","60","","","","eth","","","","","",""
"2","6.522198","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"3","6.522329","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"4","6.595051","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"5","6.595216","::","ff02::1:ffe1:811e","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"6","6.595319","::","ff02::1:ffe1:811e","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"7","6.595408","::","ff02::1:ff68:ef0a","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"8","6.595498","::","ff02::1:ff00:2c6","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"9","6.595584","fe80::981:b1fd:8de1:811e","ff02::2","ICMPv6","70","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"10","6.595681","fe80::981:b1fd:8de1:811e","ff02::1:ffe1:811e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"11","6.595732","fd2d:ab8c:225::2c6","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"12","6.595758","fe80::981:b1fd:8de1:811e","ff02::1:ff68:ef0a","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"13","6.595843","fe80::981:b1fd:8de1:811e","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"14","6.597129","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","ICMPv6","198","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"15","6.597254","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"16","6.597336","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"17","7.095647","fe80::981:b1fd:8de1:811e","ff02::1:ffe1:811e","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"18","7.095771","fe80::981:b1fd:8de1:811e","ff02::1:ff68:ef0a","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"19","7.095848","fe80::981:b1fd:8de1:811e","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"20","7.339178","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","162","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","108"
"21","7.340192","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","163","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","109"
"22","7.417796","fe80::981:b1fd:8de1:811e","ff02::2","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"23","7.417931","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"24","7.421436","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"25","7.421514","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"26","7.436421","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","146","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","92"
"27","7.438513","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","183","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","129"
"28","7.596608","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"29","7.598832","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"30","7.598908","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"31","7.695556","fe80::69b0:5ca7:a676:2c5a","ff02::1:ff00:2c6","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"32","8.437700","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","188","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","134"
"33","8.438946","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","215","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","161"
"34","8.440044","fe80::981:b1fd:8de1:811e","ff02::1:ff00:cc7","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"35","8.441692","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"36","8.441827","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"37","8.597819","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"38","8.597956","::","ff02::1:ff00:cc7","ICMPv6","78","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"39","8.598058","fe80::981:b1fd:8de1:811e","ff02::1:ff00:cc7","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"40","8.598206","fd2d:ab8c:225::cc7","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:icmpv6","","","","","",""
"41","8.599785","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
"42","8.599877","Giga-Byt_c0:43:92","PcsCompu_9d:05:4d","ARP","42","","","","eth:ethertype:arp","","","","","",""
"43","8.938523","fe80::981:b1fd:8de1:811e","ff02::2","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"44","8.938657","fe80::da58:d7ff:fe00:f72","ff02::1","ICMPv6","86","","","","eth:ethertype:ipv6:ipv6.hopopts:icmpv6","","","","","",""
"45","8.938773","fe80::981:b1fd:8de1:811e","ff02::1:2","DHCPv6","148","546","547","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","94"
"46","8.939967","fe80::da58:d7ff:fe00:f72","fe80::981:b1fd:8de1:811e","DHCPv6","141","547","546","","eth:ethertype:ipv6:udp:dhcpv6","","","","","","87"
"47","8.941364","PcsCompu_9d:05:4d","Broadcast","ARP","42","","","","eth:ethertype:arp","","","","","",""
