FlowNo.,Answer RRs,BytesEx,Destination,Destination Port,Duration,FPL,IP_Flags,Length,Next sequence number,No.,NumPackets,Protocol,Protocols in frame,SameLenPktRatio,Sequence number,Source,Source Port,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward
79,,348,31.13.93.7,443,2.32,66,0x40,66,1,1193,6,TCP,eth:ethertype:ip:tcp,0.333333,0,192.168.1.126,49190,5.65685,0,0,0,1,58,1200,2.58621,,2,126.448,0,2,2
35,,8410,192.168.1.126,49169,7.023,60,0x40,54,2330,830,17,TCP,eth:ethertype:ip:tcp,0.235294,2330,31.13.93.7,443,658.921,0.014,0,0,6,494.706,9579.95,2.42062,,16,118.411,0,0.888889,9
93,2,418,192.168.1.126,62819,0.022,76,0x00,133,,707,4,DNS,eth:ethertype:ip:udp:dns,0.5,,8.8.8.8,53,28.5,0.001,0,0,3,104.5,152000,181.818,99,0,116.363,,1,2
97,0,376,fd2d:ab8c:225::1,53,0.021,98,,98,,1666,2,DNS,eth:ethertype:ipv6:udp:dns,1,,fd2d:ab8c:225:0:65fd:f7c4:fa68:ef0a,57886,90,0,0,0,1,188,143238,95.2381,44,0,173.541,,1,1
25,,1724,31.13.93.7,443,1.137,210,0x40,210,157,768,2,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49162,652,0,0,0,1,862,12130.2,1.75901,,24,117.755,156,1,1
27,,186,31.13.93.7,443,0.999,66,0x40,66,1,762,3,TCP,eth:ethertype:ip:tcp,0.666667,0,192.168.1.126,49164,5.65685,0,0,0,1,62,1489.49,3.003,,2,117.754,0,2,1
62,,29762,31.13.93.7,443,68.278,66,0x40,66,1,1116,37,TCP,eth:ethertype:ip:tcp,0.0810811,0,192.168.1.126,49182,729.072,0,0,0,13,804.378,3487.16,0.541902,,2,125.435,0,0.608696,23
49,,10775,31.13.93.7,443,8.559,242,0x40,242,189,1078,14,TLSv1.2,eth:ethertype:ip:tcp:tls,0.714286,1,192.168.1.126,49175,532.682,0,0,0,1,769.643,10071.3,1.63571,,24,124.907,188,0.4,10
13,,6431,31.13.93.36,443,0.61,239,0x40,239,186,1660,9,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49194,505.123,0,0,0,1,714.556,84341,14.7541,,24,173.484,185,0.8,5
24,,330,31.13.93.7,443,0.839,138,0x40,210,158,804,3,TCP,eth:ethertype:ip:tcp,1,1,192.168.1.126,49162,70.8802,0,0,0,1,110,3146.6,3.57569,,25,118.053,156,2,1
83,,6413,31.13.93.7,443,2.264,242,0x40,242,189,1263,8,TLSv1.2,eth:ethertype:ip:tcp:tls,1,1,192.168.1.126,49191,560.649,0,0,0,1,801.625,22660.8,3.53357,,24,127.446,188,0.6,5
2,,276,192.168.1.255,137,1.5017,92,0x00,92,,478,3,NBNS,eth:ethertype:ip:udp:nbns,0.333333,,192.168.1.126,137,0,0,0,0,2,92,1470.33,1.99774,58,0,87.5216,,-1,0
