FlowNo.,Answer RRs,BytesEx,Destination,Destination Port,Duration,FPL,IP_Flags,Length,Next sequence number,No.,NumPackets,Protocol,Protocols in frame,SameLenPktRatio,Sequence number,Source,Source Port,StdDevLen,IAT,isNull,NPEx,reconnects,APL,BitsPerSec,AvgPktPerSec,udp_Length,tcp_Flags,Time,TCP Segment Len,IOPR,NumForward,label
217,,226,204.95.99.221,443,0.0,113.0,0x40,54,84.0,4921,2,TCP,eth:ethertype:ip:tcp,1.0,84.0,192.168.1.116,49301,59.0,0.0,0,0,0,113.0,0.0,0.0,,20,4204.68,0.0,1.0,1,1
731,,395,91.220.62.30,443,20.01,57.0,0x40,62,1.0,7206,7,TCP,eth:ethertype:ip:tcp,0.428571,0.0,192.168.1.116,49358,3.53986,0.0,0,0,3,56.4286,157.921,0.349825,,2,5867.72,0.0,1.33333,3,1
241,,226,192.168.1.116,49322,0.0,113.0,0x40,172,119.0,5781,2,TCP,eth:ethertype:ip:tcp,1.0,1.0,204.95.99.221,443,59.0,0.0,0,0,0,113.0,0.0,0.0,,24,4846.26,118.0,1.0,1,1
363,,60,204.95.99.221,443,0.0,60.0,0x40,60,7.0,9074,1,SSL,eth:ethertype:ip:tcp:tls,1.0,1.0,192.168.1.116,49414,0.0,0.0,0,0,0,60.0,0.0,0.0,,24,7401.4,6.0,-1.0,0,1
732,,226,91.220.62.30,443,0.0,113.0,0x40,54,9.0,7231,2,TCP,eth:ethertype:ip:tcp,1.0,9.0,192.168.1.116,49358,59.0,0.0,0,0,0,113.0,0.0,0.0,,20,5887.73,0.0,1.0,1,1
1368,0.0,332,fd2d:ab8c:225::1,53,0.148,99.0,,99,,732,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,61148,67.0,0.0,0,0,1,166.0,17945.9,13.5135,45.0,0,456.291,,1.0,1,1
935,,395,192.168.1.116,49540,20.0,57.0,0x40,54,1.0,19967,7,TCP,eth:ethertype:ip:tcp,0.428571,1.0,91.220.62.30,443,3.53986,0.0,0,0,3,56.4286,158.0,0.35,,16,16039.5,0.0,1.33333,3,1
764,,348,91.220.62.30,443,20.0,60.0,0x40,66,1.0,9408,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49425,5.65685,0.0,0,0,3,58.0,139.2,0.3,,2,7742.13,0.0,1.0,3,1
926,,340,91.220.62.30,443,20.0,58.0,0x40,62,1.0,19562,6,TCP,eth:ethertype:ip:tcp,0.333333,0.0,192.168.1.116,49537,3.77124,0.0,0,0,3,56.6667,136.0,0.3,,2,15557.7,0.0,1.0,3,1
1204,0.0,336,fd2d:ab8c:225::1,53,0.09,101.0,,101,,5788,2,DNS,eth:ethertype:ipv6:udp:dns,1.0,,fd2d:ab8c:225:0:d165:fe2f:b6b4:4877,51976,67.0,0.0,0,0,1,168.0,29866.7,22.2222,47.0,0,4856.28,,1.0,1,1
